"SchoolId","FinanceId","SchoolName","SchoolNetworkName","Meeting01","Meeting02","Meeting03","Meeting04","Meeting05","Meeting06","Meeting07","Meeting08","Meeting09","Meeting10","Meeting11","Meeting12","Meeting13","Meeting14","Meeting15","Meeting16","Meeting17","Meeting18","Meeting19","Meeting20","Meeting21","Meeting22","Meeting23","Meeting24"
"610005","23901","HUGHES, C","Austin-North Lawndale","07/2012 ","08/16/2012 11:00 AM","09/20/2012 11:00 AM","10/18/2012 11:00 AM","11/15/2012 11:00 AM","12/2012 ","01/17/2013 11:00 AM","02/21/2013 11:00 AM","03/21/2013 11:00 AM","04/18/2013 11:00 AM","05/16/2013 11:00 AM","06/20/2013 11:00 AM","","","","","","","","","","","",""
"610368","22451","HUGHES, L","Rock Island","07/2012 ","08/2012 ","09/2012 ","10/11/2012 03:00 PM","11/08/2012 03:00 PM","12/13/2012 03:00 PM","01/10/2013 03:00 PM","02/14/2013 03:00 PM","03/14/2013 03:00 PM","04/11/2013 03:00 PM","05/09/2013 03:00 PM","06/13/2013 03:00 PM","","","","","","","","","","","",""
"610006","23911","HURLEY","Midway","07/03/2012 08:30 AM","08/21/2012 08:30 AM","09/2012 ","10/2012 ","11/20/2012 05:00 PM","12/2012 ","01/22/2013 08:30 AM","02/2013 ","03/19/2013 05:00 PM","04/2013 ","05/21/2013 08:30 AM","06/2013 ","","","","","","","","","","","",""
"609713","46171","HYDE PARK HS","South Side","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/21/2013 06:00 PM","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"610384","55151","INFINITY HS","West Side","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/29/2013 05:00 PM","02/26/2013 05:00 PM","03/20/2013 05:00 PM","04/30/2013 05:00 PM","05/28/2013 05:00 PM","06/18/2013 05:00 PM","","","","","","","","","","","",""
"610078","29191","INTER-AMERICAN","Ravenswood-Ridge","07/2012 ","08/2012 ","09/11/2012 06:00 PM","10/09/2012 06:00 PM","11/20/2012 06:00 PM","12/11/2012 06:00 PM","01/15/2013 06:00 PM","02/19/2013 06:00 PM","03/19/2013 06:00 PM","04/16/2013 06:00 PM","05/21/2013 06:00 PM","06/11/2013 06:00 PM","","","","","","","","","","","",""
"610121","24881","IRVING","Fulton","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/2013 ","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"610060","29171","JACKSON, A","Fulton","07/11/2012 05:15 PM","08/2012 ","09/19/2012 05:45 PM","10/17/2012 05:45 PM","11/14/2012 05:45 PM","12/19/2012 05:45 PM","01/16/2013 05:45 PM","02/20/2013 05:45 PM","03/20/2013 05:45 PM","04/17/2013 05:45 PM","05/15/2013 05:45 PM","06/2013 ","","","","","","","","","","","",""
"610369","26651","JACKSON, M","Englewood-Gresham","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/15/2013 03:00 PM","02/12/2013 03:00 PM","03/12/2013 03:00 PM","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"610010","23921","JAHN","Ravenswood-Ridge","07/2012 ","08/01/2012 05:00 PM","09/12/2012 06:00 PM","10/10/2012 06:00 PM","11/07/2012 06:00 PM","12/12/2012 06:00 PM","01/09/2013 06:00 PM","02/13/2013 06:00 PM","03/13/2013 06:00 PM","04/10/2013 06:00 PM","05/08/2013 06:00 PM","06/05/2013 06:00 PM","","","","","","","","","","","",""
"610011","23931","JAMIESON","Ravenswood-Ridge","07/2012 ","08/30/2012 07:00 PM","09/27/2012 07:00 PM","10/25/2012 07:00 PM","11/29/2012 07:00 PM","12/20/2012 07:00 PM","01/31/2013 07:00 PM","02/28/2013 07:00 PM","03/28/2013 07:00 PM","04/25/2013 07:00 PM","05/30/2013 07:00 PM","06/27/2013 07:00 PM","","","","","","","","","","","",""
"610012","23951","JENNER","Fullerton","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/29/2013 03:45 PM","02/26/2013 03:45 PM","03/26/2013 03:45 PM","04/23/2013 03:45 PM","05/28/2013 03:45 PM","06/04/2013 03:45 PM","","","","","","","","","","","",""
"610271","29341","JENSEN","Garfield-Humboldt","07/2012 ","08/29/2012 03:00 PM","09/26/2012 03:00 PM","10/2012 ","11/07/2012 03:00 PM","12/2012 ","01/16/2013 03:00 PM","02/20/2013 03:00 PM","03/23/2013 03:00 PM","04/17/2013 10:00 AM","05/2013 ","06/2013 ","","","","","","","","","","","",""
"610274","26231","JOHNSON","Austin-North Lawndale","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/2013 ","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"609678","47021","JONES HS","South Side","07/2012 ","08/21/2012 05:30 PM","09/11/2012 05:30 PM","10/09/2012 05:30 PM","11/13/2012 05:30 PM","12/11/2012 05:30 PM","01/15/2013 05:30 PM","02/19/2013 05:30 PM","03/12/2013 05:30 PM","04/16/2013 05:30 PM","05/14/2013 05:30 PM","06/04/2013 05:30 PM","","","","","","","","","","","",""
"609805","22281","JOPLIN","Englewood-Gresham","07/2012 ","08/08/2012 04:30 PM","09/12/2012 04:30 PM","10/10/2012 04:30 PM","11/14/2012 04:30 PM","12/12/2012 04:30 PM","01/09/2013 04:30 PM","02/13/2013 04:30 PM","03/13/2013 04:30 PM","04/17/2013 04:30 PM","05/08/2013 04:30 PM","06/12/2013 04:30 PM","","","","","","","","","","","",""
"609865","22811","JORDAN","Ravenswood-Ridge","07/2012 ","08/2012 ","09/05/2012 05:30 PM","10/03/2012 05:30 PM","11/07/2012 05:30 PM","12/05/2012 05:30 PM","01/09/2013 05:30 PM","02/06/2013 05:30 PM","03/06/2013 05:30 PM","04/03/2013 05:30 PM","05/01/2013 05:30 PM","06/05/2013 05:30 PM","","","","","","","","","","","",""
"609764","46421","JUAREZ HS","West Side","07/2012 ","08/15/2012 05:30 PM","09/19/2012 05:30 PM","10/17/2012 05:30 PM","11/14/2012 05:30 PM","12/12/2012 05:30 PM","01/23/2013 05:30 PM","02/20/2013 05:30 PM","03/20/2013 05:30 PM","04/24/2013 05:30 PM","05/15/2013 05:30 PM","06/05/2013 05:30 PM","","","","","","","","","","","",""
"609762","46401","JULIAN HS","Far South Side","07/2012 ","08/2012 ","09/13/2012 06:00 PM","10/04/2012 06:00 PM","11/01/2012 06:00 PM","12/06/2012 06:00 PM","01/10/2013 06:00 PM","02/07/2013 06:00 PM","03/07/2013 06:00 PM","04/18/2013 06:00 PM","05/02/2013 06:00 PM","06/06/2013 06:00 PM","","","","","","","","","","","",""
"610015","23961","JUNGMAN","Pilsen-Little Village","07/2012 ","08/2012 ","09/11/2012 04:00 PM","10/09/2012 04:00 PM","11/13/2012 04:00 PM","12/11/2012 04:00 PM","01/08/2013 04:00 PM","02/19/2013 04:00 PM","03/12/2013 04:00 PM","04/09/2013 04:00 PM","05/14/2013 04:00 PM","06/11/2013 04:00 PM","","","","","","","","","","","",""
"609920","29071","KANOON","Pilsen-Little Village","07/2012 ","08/2012 ","09/05/2012 09:00 AM","10/02/2012 09:00 AM","11/06/2012 09:00 AM","12/04/2012 09:00 AM","01/08/2013 09:00 AM","02/05/2013 09:00 AM","03/05/2013 09:00 AM","04/09/2013 09:00 AM","05/07/2013 09:00 AM","06/04/2013 09:00 AM","","","","","","","","","","","",""
"610084","29211","KELLER","Rock Island","07/2012 ","08/2012 ","09/13/2012 06:00 PM","10/04/2012 06:00 PM","11/01/2012 06:00 PM","12/06/2012 05:00 PM","01/10/2013 03:30 PM","02/07/2013 05:00 PM","03/07/2013 05:00 PM","04/11/2013 03:30 PM","05/02/2013 05:00 PM","06/06/2013 05:00 PM","","","","","","","","","","","",""
"609925","23251","KELLMAN","Garfield-Humboldt","07/2012 ","08/2012 ","09/11/2012 03:00 PM","10/2012 ","11/13/2012 03:00 PM","12/2012 ","01/08/2013 03:00 PM","02/2013 ","03/12/2013 03:00 PM","04/2013 ","05/14/2013 03:00 PM","06/2013 ","","","","","","","","","","","",""
"610016","23971","KELLOGG","Rock Island","07/2012 ","08/2012 ","09/11/2012 06:00 PM","10/03/2012 06:00 PM","11/06/2012 06:00 PM","12/04/2012 06:00 PM","01/08/2013 06:00 PM","02/05/2013 06:00 PM","03/05/2013 06:00 PM","04/09/2013 06:00 PM","05/07/2013 06:00 PM","06/04/2013 06:00 PM","","","","","","","","","","","",""
"609715","46181","KELLY HS","Southwest Side","07/2012 ","08/21/2012 09:30 AM","09/18/2012 09:30 AM","10/16/2012 09:30 AM","11/20/2012 09:30 AM","12/18/2012 09:30 AM","01/15/2013 09:30 AM","02/19/2013 09:30 AM","03/19/2013 09:30 AM","04/16/2013 09:30 AM","05/21/2013 09:30 AM","06/18/2013 09:30 AM","","","","","","","","","","","",""
"609716","46191","KELVYN PARK HS","North-Northwest Side","07/2012 ","08/06/2012 06:00 PM","09/10/2012 06:00 PM","10/01/2012 06:00 PM","11/05/2012 06:00 PM","12/03/2012 06:00 PM","01/07/2013 06:00 PM","02/04/2013 06:00 PM","03/04/2013 06:00 PM","04/08/2013 06:00 PM","05/06/2013 06:00 PM","06/03/2013 06:00 PM","","","","","","","","","","","",""
"609718","46201","KENNEDY HS","Southwest Side","07/2012 ","08/2012 ","09/10/2012 06:00 PM","10/01/2012 06:00 PM","11/05/2012 06:00 PM","12/03/2012 06:00 PM","01/07/2013 06:00 PM","02/04/2013 06:00 PM","03/04/2013 06:00 PM","04/08/2013 06:00 PM","05/06/2013 06:00 PM","06/03/2013 06:00 PM","","","","","","","","","","","",""
"609746","46361","KENWOOD HS","South Side","07/2012 ","08/2012 ","09/2012 ","10/2012 ","11/2012 ","12/2012 ","01/2013 ","02/2013 ","03/2013 ","04/2013 ","05/2013 ","06/2013 ","","","","","","","","","","","",""
"610019","23991","KERSHAW","Englewood-Gresham","07/2012 ","08/15/2012 09:00 AM","09/05/2012 09:00 AM","10/03/2012 09:00 AM","11/07/2012 09:00 AM","12/05/2012 09:00 AM","01/09/2013 09:00 AM","02/06/2013 09:00 AM","03/06/2013 09:00 AM","04/17/2013 09:00 AM","05/01/2013 09:00 AM","06/05/2013 09:00 AM","","","","","","","","","","","",""
"610020","24001","KEY","Austin-North Lawndale","07/2012 ","08/2012 ","09/19/2012 04:30 PM","10/10/2012 04:30 PM","11/14/2012 04:30 PM","12/12/2012 04:30 PM","01/16/2013 04:30 PM","02/20/2013 04:30 PM","03/20/2013 04:30 PM","04/24/2013 04:30 PM","05/15/2013 04:30 PM","06/2013 ","","","","","","","","","","","",""
"610022","24021","KILMER","Ravenswood-Ridge","07/2012 ","08/21/2012 ","09/18/2012 ","10/16/2012 ","11/20/2012 ","12/2012 ","01/15/2013 ","02/19/2013 ","03/19/2013 ","04/16/2013 ","05/21/2013 ","06/11/2013 ","","","","","","","","","","","",""
"610023","24031","KING","Fulton","07/2012 ","08/2012 ","09/11/2012 04:00 PM","10/09/2012 04:00 PM","11/13/2012 04:00 PM","12/11/2012 04:00 PM","01/08/2013 04:00 PM","02/12/2013 04:00 PM","03/12/2013 04:00 PM","04/09/2013 04:00 PM","05/14/2013 04:00 PM","06/11/2013 04:00 PM","","","","","","","","","","","",""
